Species,coef,significant,significant2,ci.lower,ci.upper,chg_rad_inc_1SD_clim,variable,month,CP,sp
CACO_subcanopy,-0.277876608,TRUE,FALSE,-0.466453682,-0.077110529,-0.040570896,pet,prev.aug,subcanopy,CACO
CACO_subcanopy,-0.212959591,TRUE,FALSE,-0.392044109,-0.016303372,-0.031092799,pet,prev.sep,subcanopy,CACO
CACO_subcanopy,-0.226319187,TRUE,FALSE,-0.407239353,-0.045215286,-0.033043343,pet,prev.oct,subcanopy,CACO
CACO_subcanopy,-0.209836008,TRUE,FALSE,-0.409035479,-0.005244316,-0.030636745,pet,prev.nov,subcanopy,CACO
CACO_subcanopy,-0.016229216,FALSE,FALSE,-0.225089949,0.170762148,-0.002369519,pet,prev.dec,subcanopy,CACO
CACO_subcanopy,-0.059381167,FALSE,FALSE,-0.209630567,0.098931785,-0.008669845,pet,curr.jan,subcanopy,CACO
CACO_subcanopy,-0.108991148,FALSE,FALSE,-0.316820679,0.114415673,-0.015913065,pet,curr.feb,subcanopy,CACO
CACO_subcanopy,-0.148658618,FALSE,FALSE,-0.330829407,0.050014513,-0.021704646,pet,curr.mar,subcanopy,CACO
CACO_subcanopy,0.077374347,FALSE,FALSE,-0.139340893,0.304755187,0.011296908,pet,curr.apr,subcanopy,CACO
CACO_subcanopy,-0.223931991,TRUE,FALSE,-0.417059029,-0.029624344,-0.032694805,pet,curr.may,subcanopy,CACO
CACO_subcanopy,-0.344184737,TRUE,TRUE,-0.505985762,-0.152888297,-0.0502521,pet,curr.jun,subcanopy,CACO
CACO_subcanopy,-0.218437103,TRUE,FALSE,-0.389022975,-0.000316843,-0.031892533,pet,curr.jul,subcanopy,CACO
CACO_subcanopy,-0.08867441,FALSE,FALSE,-0.26368585,0.07396179,-0.012946755,pet,curr.aug,subcanopy,CACO
CACO_subcanopy,0.017164539,FALSE,FALSE,-0.155329627,0.186001283,0.002506079,pet_sum,prev.apr,subcanopy,CACO
CACO_subcanopy,-0.042076116,FALSE,FALSE,-0.244842401,0.1584851,-0.006143251,pet_sum,prev.may,subcanopy,CACO
CACO_subcanopy,-0.051141915,FALSE,FALSE,-0.235619736,0.118188224,-0.007466887,pet_sum,prev.jun,subcanopy,CACO
CACO_subcanopy,0.025935178,FALSE,FALSE,-0.149092943,0.207092192,0.003786621,pet_sum,prev.jul,subcanopy,CACO
CACO_subcanopy,-0.271966962,TRUE,FALSE,-0.458098517,-0.083653794,-0.039708068,pet_sum,prev.aug,subcanopy,CACO
CACO_subcanopy,-0.205796638,TRUE,FALSE,-0.396354968,-0.006923062,-0.030046984,pet_sum,prev.sep,subcanopy,CACO
CACO_subcanopy,-0.22551795,TRUE,FALSE,-0.424312115,-0.050164886,-0.03292636,pet_sum,prev.oct,subcanopy,CACO
CACO_subcanopy,-0.216124981,TRUE,FALSE,-0.387433827,-0.014391066,-0.031554956,pet_sum,prev.nov,subcanopy,CACO
CACO_subcanopy,-0.030363739,FALSE,FALSE,-0.223605097,0.176700038,-0.004433205,pet_sum,prev.dec,subcanopy,CACO
CACO_subcanopy,-0.056494347,FALSE,FALSE,-0.2121937,0.118067526,-0.00824836,pet_sum,curr.jan,subcanopy,CACO
CACO_subcanopy,-0.098985144,FALSE,FALSE,-0.32474142,0.131089299,-0.014452156,pet_sum,curr.feb,subcanopy,CACO
CACO_subcanopy,-0.146904106,FALSE,FALSE,-0.348204637,0.061575999,-0.021448481,pet_sum,curr.mar,subcanopy,CACO
CACO_subcanopy,0.080887584,FALSE,FALSE,-0.13077307,0.310721281,0.011809852,pet_sum,curr.apr,subcanopy,CACO
CACO_subcanopy,-0.228570914,TRUE,FALSE,-0.4090948,-0.036701668,-0.033372103,pet_sum,curr.may,subcanopy,CACO
CACO_subcanopy,-0.344138336,TRUE,TRUE,-0.495370975,-0.154054121,-0.050245325,pet_sum,curr.jun,subcanopy,CACO
CACO_subcanopy,-0.20880276,TRUE,FALSE,-0.392180377,-0.013000711,-0.030485888,pet_sum,curr.jul,subcanopy,CACO
CACO_subcanopy,-0.086811559,FALSE,FALSE,-0.255873825,0.071720122,-0.012674772,pet_sum,curr.aug,subcanopy,CACO
CACO_subcanopy,0.046262278,FALSE,FALSE,-0.124739008,0.22745009,0.006754444,pre,prev.apr,subcanopy,CACO
CACO_subcanopy,0.004862728,FALSE,FALSE,-0.232199035,0.189542957,0.000709974,pre,prev.may,subcanopy,CACO
CACO_subcanopy,-0.01961975,FALSE,FALSE,-0.247679405,0.188834692,-0.002864548,pre,prev.jun,subcanopy,CACO
CACO_subcanopy,0.102597225,FALSE,FALSE,-0.088368602,0.271981708,0.014979531,pre,prev.jul,subcanopy,CACO
CACO_subcanopy,0.279882471,TRUE,TRUE,0.09733282,0.435735401,0.040863759,pre,prev.aug,subcanopy,CACO
CACO_subcanopy,0.216074559,TRUE,FALSE,0.060428016,0.346590303,0.031547594,pre,prev.sep,subcanopy,CACO
CACO_subcanopy,0.050640806,FALSE,FALSE,-0.165929831,0.269720406,0.007393724,pre,prev.oct,subcanopy,CACO
CACO_subcanopy,0.026680521,FALSE,FALSE,-0.191090877,0.235718119,0.003895443,pre,prev.nov,subcanopy,CACO
CACO_subcanopy,0.046010178,FALSE,FALSE,-0.190812388,0.264157237,0.006717637,pre,prev.dec,subcanopy,CACO
CACO_subcanopy,-0.098344353,FALSE,FALSE,-0.28484894,0.081729079,-0.014358598,pre,curr.jan,subcanopy,CACO
CACO_subcanopy,0.03440753,FALSE,FALSE,-0.132791437,0.203166599,0.005023612,pre,curr.feb,subcanopy,CACO
CACO_subcanopy,0.100102363,FALSE,FALSE,-0.112444153,0.286471879,0.014615273,pre,curr.mar,subcanopy,CACO
CACO_subcanopy,-0.115078211,FALSE,FALSE,-0.313161312,0.123226897,-0.016801796,pre,curr.apr,subcanopy,CACO
CACO_subcanopy,0.196569169,FALSE,FALSE,-0.025777706,0.397910975,0.028699743,pre,curr.may,subcanopy,CACO
CACO_subcanopy,0.157328907,FALSE,FALSE,-0.035883579,0.312501519,0.022970536,pre,curr.jun,subcanopy,CACO
CACO_subcanopy,0.177581116,FALSE,FALSE,-0.028909413,0.372887528,0.025927425,pre,curr.jul,subcanopy,CACO
CACO_subcanopy,0.140607536,FALSE,FALSE,-0.064147516,0.32469128,0.020529161,pre,curr.aug,subcanopy,CACO
CACO_subcanopy,-0.011568089,FALSE,FALSE,-0.197434889,0.203115293,-0.001688979,tmn,prev.apr,subcanopy,CACO
CACO_subcanopy,-0.205787093,FALSE,FALSE,-0.389239304,0.00779058,-0.03004559,tmn,prev.may,subcanopy,CACO
CACO_subcanopy,0.016063633,FALSE,FALSE,-0.214534942,0.251080541,0.002345343,tmn,prev.jun,subcanopy,CACO
